resume path / checkpoint path: checkpoints/CheoFaMo_MA.pth
Batch_size: 8
Epoch       LR       Train_Loss  Train_Acc    Val_Loss    Val_Acc   Time(min) 
  1     0.00000980     3.2516      72.71       0.6748      77.93       4.85   
BEST	val_acc=77.93
  2     0.00000960     2.6529      81.76       0.6024      81.52       4.68   
BEST	val_acc=81.52
  3     0.00000941     2.3522      87.18       0.5537      82.38       4.61   
BEST	val_acc=82.38
  4     0.00000922     2.1535      90.07       0.5481      82.21       4.65   
  5     0.00000904     1.9685      94.07       0.5675      82.98       4.64   
BEST	val_acc=82.98
  6     0.00000886     1.8544      96.19       0.5677      82.46       4.56   
  7     0.00000868     1.7817      97.47       0.5783      82.38       4.69   
  8     0.00000851     1.7331      98.16       0.5945      81.69       4.57   
  9     0.00000834     1.6998      98.63       0.5706      83.06       4.53   
BEST	val_acc=83.06
  10    0.00000817     1.6657      99.29       0.5953      82.38       4.52   
  11    0.00000801     1.6493      99.49       0.6020      82.29       4.53   
  12    0.00000785     1.6407      99.46       0.6082      82.81       4.52   
  13    0.00000769     1.6357      99.53       0.6017      82.81       4.53   
  14    0.00000754     1.6265      99.64       0.6171      82.55       4.59   
  15    0.00000739     1.6152      99.74       0.6291      82.46       4.53   
  16    0.00000724     1.6168      99.68       0.6105      82.21       4.53   
  17    0.00000709     1.6090      99.81       0.6091      82.29       4.54   
  18    0.00000695     1.6095      99.72       0.6086      82.81       4.52   
  19    0.00000681     1.6039      99.79       0.6020      83.23       4.69   
BEST	val_acc=83.23
  20    0.00000668     1.6021      99.85       0.6056      83.49       4.53   
BEST	val_acc=83.49
  21    0.00000654     1.6007      99.79       0.6211      82.81       4.53   
  22    0.00000641     1.6007      99.87       0.6181      82.89       4.53   
  23    0.00000628     1.5986      99.85       0.6400      81.69       4.65   
  24    0.00000616     1.5987      99.87       0.6359      82.29       4.51   
  25    0.00000603     1.5964      99.89       0.6378      82.12       4.53   
  26    0.00000591     1.5946      99.87       0.6546      82.12       4.53   
  27    0.00000580     1.5965      99.83       0.6412      82.55       4.53   
  28    0.00000568     1.5943      99.87       0.6349      82.63       4.52   
  29    0.00000557     1.5937      99.89       0.6398      82.38       4.53   
  30    0.00000545     1.5934      99.89       0.6248      83.06       4.52   
  31    0.00000535     1.5906      99.91       0.6411      82.21       4.52   
