resume path / checkpoint path: checkpoints/CheoFaMo_MA_loss.pth
Batch_size: 8
Epoch       LR       Train_Loss  Train_Acc    Val_Loss    Val_Acc   Time(min) 
  1     0.00000980     1.1750      71.40       0.7350      75.79       4.82   
BEST	val_acc=75.79
  2     0.00000960     0.8414      79.30       0.6170      79.56       4.50   
BEST	val_acc=79.56
  3     0.00000941     0.6494      84.33       0.6121      81.52       4.51   
BEST	val_acc=81.52
  4     0.00000922     0.5134      87.48       0.5567      82.89       4.50   
BEST	val_acc=82.89
  5     0.00000904     0.4014      90.07       0.5825      81.78       4.51   
  6     0.00000886     0.3022      92.81       0.6384      80.84       4.50   
  7     0.00000868     0.2258      94.61       0.6511      82.55       4.50   
  8     0.00000851     0.1734      95.98       0.6549      81.61       4.50   
  9     0.00000834     0.1272      96.98       0.7360      82.12       4.50   
  10    0.00000817     0.0993      97.75       0.7404      82.38       4.50   
  11    0.00000801     1.7937      98.24       0.5900      82.38       4.50   
  12    0.00000785     1.6854      99.10       0.5905      82.38       4.50   
  13    0.00000769     1.6549      99.44       0.6264      81.69       4.50   
  14    0.00000754     1.6398      99.53       0.6070      82.38       4.51   
  15    0.00000739     1.6324      99.44       0.6222      81.78       4.50   
  16    0.00000724     1.6200      99.64       0.6313      81.09       4.50   
  17    0.00000709     1.6158      99.79       0.6229      81.69       4.49   
  18    0.00000695     1.6092      99.76       0.6222      82.46       4.50   
  19    0.00000681     1.6115      99.79       0.6349      82.55       4.50   
  20    0.00000668     1.6039      99.79       0.6419      81.95       4.50   
  21    0.00000654     1.6052      99.79       0.6256      82.21       4.50   
  22    0.00000641     1.5998      99.87       0.6309      82.55       4.50   
  23    0.00000628     1.5972      99.87       0.6422      82.04       4.50   
  24    0.00000616     1.5983      99.85       0.6407      82.38       4.51   
  25    0.00000603     1.5956      99.85       0.6470      82.72       4.50   
  26    0.00000591     1.5999      99.81       0.6428      82.55       4.50   
  27    0.00000580     1.5947      99.87       0.6596      82.21       4.50   
  28    0.00000568     1.5942      99.87       0.6504      81.86       4.50   
  29    0.00000557     1.5930      99.87       0.6474      82.12       4.50   
  30    0.00000545     1.5921      99.87       0.6593      82.63       4.50   
  31    0.00000535     1.5962      99.83       0.6595      81.86       4.50   
  32    0.00000524     1.5935      99.87       0.6630      82.21       4.50   
  33    0.00000513     1.5921      99.91       0.6567      82.29       4.50   
  34    0.00000503     1.5915      99.89       0.6540      82.12       4.51   
  35    0.00000493     1.5922      99.89       0.6648      81.78       4.50   
  36    0.00000483     1.5910      99.85       0.6485      82.38       4.50   
  37    0.00000474     1.5902      99.87       0.6463      82.72       4.50   
  38    0.00000464     1.5880      99.91       0.6522      81.86       4.50   
  39    0.00000455     1.5885      99.94       0.6532      82.29       4.51   
  40    0.00000446     1.5880      99.96       0.6835      82.04       4.50   
  41    0.00000437     1.5883      99.96       0.6611      82.12       4.50   
  42    0.00000428     1.5872      99.98       0.6607      82.29       4.50   
  43    0.00000419     1.5856      100.00      0.6581      82.55       4.50   
  44    0.00000411     1.5863      99.98       0.6515      82.55       4.50   
  45    0.00000403     1.5856      99.98       0.6598      82.12       4.50   
  46    0.00000395     1.5862      99.96       0.6661      81.61       4.50   
  47    0.00000387     1.5866      99.96       0.6800      81.95       4.50   
  48    0.00000379     1.5866      99.98       0.6539      82.46       4.50   
  49    0.00000372     1.5862      99.94       0.6667      82.29       4.50   
  50    0.00000364     1.5855      99.98       0.6643      82.46       4.50   
  51    0.00000357     1.5859      99.94       0.6621      82.21       4.50   
  52    0.00000350     1.5845      100.00      0.6629      82.38       4.50   
  53    0.00000343     1.5865      99.94       0.6632      82.55       4.50   
  54    0.00000336     1.5851      99.98       0.6651      82.72       4.50   
  55    0.00000329     1.5861      99.96       0.6604      82.55       4.50   
  56    0.00000323     1.5842      100.00      0.6708      82.29       4.50   
  57    0.00000316     1.5847      99.98       0.6604      82.72       4.50   
  58    0.00000310     1.5867      99.96       0.6648      82.72       4.50   
  59    0.00000304     1.5843      99.98       0.6683      82.81       4.50   
  60    0.00000298     1.5839      100.00      0.6641      82.55       4.50   
  61    0.00000292     1.5842      99.98       0.6682      82.89       4.50   
  62    0.00000286     1.5852      99.98       0.6721      82.81       4.50   
  63    0.00000280     1.5845      100.00      0.6766      82.38       4.50   
  64    0.00000274     1.5838      100.00      0.6738      82.21       4.49   
  65    0.00000269     1.5858      99.98       0.6788      82.72       4.50   
  66    0.00000264     1.5836      100.00      0.6771      82.29       4.50   
  67    0.00000258     1.5839      100.00      0.6759      81.86       4.50   
  68    0.00000253     1.5837      100.00      0.6720      82.63       4.51   
  69    0.00000248     1.5836      100.00      0.6707      82.81       4.50   
  70    0.00000243     1.5838      100.00      0.6808      82.04       4.50   
  71    0.00000238     1.5854      99.98       0.6749      82.38       4.51   
  72    0.00000233     1.5838      100.00      0.6831      82.04       4.50   
  73    0.00000229     1.5837      100.00      0.6787      82.29       4.50   
  74    0.00000224     1.5836      100.00      0.6889      81.69       4.50   
  75    0.00000220     1.5835      100.00      0.6895      82.38       4.49   
  76    0.00000215     1.5836      100.00      0.6762      82.38       4.49   
  77    0.00000211     1.5834      100.00      0.6685      82.63       4.50   
  78    0.00000207     1.5836      100.00      0.6717      82.81       4.50   
  79    0.00000203     1.5834      100.00      0.6729      82.46       4.50   
  80    0.00000199     1.5834      100.00      0.6760      82.12       4.51   
  81    0.00000195     1.5834      100.00      0.6795      82.21       4.50   
  82    0.00000191     1.5851      99.98       0.6697      82.63       4.50   
  83    0.00000187     1.5838      99.98       0.6658      83.11       4.50
BEST	val_acc=83.11
  84    0.00000183     1.5833      100.00      0.6765      82.46       4.51   
  85    0.00000180     1.5834      100.00      0.6842      81.95       4.50   
  86    0.00000176     1.5833      100.00      0.6837      81.95       4.50   
  87    0.00000172     1.5833      100.00      0.6851      82.12       4.50   
  88    0.00000169     1.5834      100.00      0.6852      82.55       4.51   
  89    0.00000166     1.5833      100.00      0.6916      82.21       4.50   
  90    0.00000162     1.5833      100.00      0.6713      83.02       4.50
  91    0.00000159     1.5834      100.00      0.6776      82.46       4.52   
  92    0.00000156     1.5833      100.00      0.6811      82.81       4.49   
  93    0.00000153     1.5833      100.00      0.6814      82.55       4.50   
  94    0.00000150     1.5833      100.00      0.6819      82.55       4.50   
  95    0.00000147     1.5833      100.00      0.6812      82.81       4.50   
  96    0.00000144     1.5833      100.00      0.6789      82.98       4.51   
  97    0.00000141     1.5833      100.00      0.6872      82.29       4.50   
  98    0.00000138     1.5833      100.00      0.6836      82.29       4.51   
  99    0.00000135     1.5833      100.00      0.6825      82.46       4.50   
 100    0.00000133     1.5832      100.00      0.6843      82.38       4.50   

Best validation accuracy: 83.11%
