resume path / checkpoint path: checkpoints/raf_MA.pth
Batch_size: 8
Epoch       LR       Train_Loss  Train_Acc    Val_Loss    Val_Acc   Time(min) 
  1     0.00000980     1.0805      73.83       0.4186      86.11      11.79   
BEST	val_acc=86.11
  2     0.00000960     0.5511      87.06       0.3495      87.91      11.70   
BEST	val_acc=87.91
  3     0.00000941     0.3554      92.02       0.3356      88.74      11.65   
BEST	val_acc=88.74
  4     0.00000922     0.2313      94.88       0.3177      89.69      11.66   
BEST	val_acc=89.69
  5     0.00000904     0.1427      97.08       0.3353      89.36      11.69   
  6     0.00000886     0.0861      98.21       0.3255      90.15      11.65   
BEST	val_acc=90.15
  7     0.00000868     0.0494      99.15       0.3610      89.66      11.65   
  8     0.00000851     0.0294      99.52       0.3518      89.79      11.66   
  9     0.00000834     0.0183      99.71       0.3758      89.49      11.66   
  10    0.00000817     0.0133      99.78       0.4001      89.85      11.67   
  11    0.00000801     1.8154      99.80       0.3702      89.98      11.65   
  12    0.00000785     1.7141      99.93       0.3737      90.15      11.66   
  13    0.00000769     1.7020      99.93       0.3743      90.67      11.67   
BEST	val_acc=90.67
  14    0.00000754     1.6960      99.96       0.3803      90.38      11.66   
  15    0.00000739     1.6944      99.93       0.3975      89.39      11.64   
  16    0.00000724     1.6903      99.99       0.3989      89.33      11.64   
  17    0.00000709     1.6913      99.92       0.3867      90.02      11.63   
  18    0.00000695     1.6885      99.96       0.4138      89.29      11.69   
  19    0.00000681     1.6873      99.97       0.4120      89.95      11.68   
  20    0.00000668     1.6862      99.99       0.4079      89.72      11.67   
  21    0.00000654     1.6854      99.99       0.4074      89.62      11.67   
  22    0.00000641     1.6855      99.98       0.4126      89.69      11.65   
  23    0.00000628     1.6854      99.98       0.3940      89.85      11.65   
  24    0.00000616     1.6844      99.99       0.4194      88.67      11.65   
  25    0.00000603     1.6846      99.98       0.4125      89.23      11.66   
  26    0.00000591     1.6838      99.98       0.4145      89.23      11.72   
  27    0.00000580     1.6836      99.98       0.4266      88.97      11.69   
  28    0.00000568     1.6827      100.00      0.4134      89.23      11.67   
  29    0.00000557     1.6835      99.98       0.4140      89.69      11.68   
  30    0.00000545     1.6828      99.99       0.4091      90.28      11.67   
  31    0.00000535     1.6827      99.99       0.4287      88.93      11.67   
  32    0.00000524     1.6839      99.98       0.4276      89.00      11.66   
  33    0.00000513     1.6827      99.98       0.4197      89.59      11.66   
  34    0.00000503     1.6824      100.00      0.4250      89.46      11.67   
  35    0.00000493     1.6824      100.00      0.4209      89.29      11.66   
  36    0.00000483     1.6823      99.99       0.4148      89.49      11.66   
  37    0.00000474     1.6824      99.99       0.4037      89.95      11.69   
  38    0.00000464     1.6829      99.98       0.4152      89.43      11.67   
  39    0.00000455     1.6819      100.00      0.4023      89.98      11.65   
  40    0.00000446     1.6832      99.97       0.4083      89.62      11.66   
  41    0.00000437     1.6822      99.99       0.4246      89.29      11.65   
  42    0.00000428     1.6819      99.98       0.4277      89.43      11.66   
  43    0.00000419     1.6816      100.00      0.4253      89.49      11.66   
  44    0.00000411     1.6818      99.99       0.4135      89.46      11.66   
  45    0.00000403     1.6814      100.00      0.4175      90.11      11.66   
  46    0.00000395     1.6816      100.00      0.4213      89.62      11.65   
  47    0.00000387     1.6815      100.00      0.4104      90.15      11.69   
  48    0.00000379     1.6813      100.00      0.4296      89.46      11.63   
  49    0.00000372     1.6818      99.98       0.4230      89.79      11.64   
  50    0.00000364     1.6815      99.99       0.4079      89.95      11.64   
  51    0.00000357     1.6811      100.00      0.4249      89.89      11.63   
  52    0.00000350     1.6814      99.99       0.4296      89.39      11.64   
  53    0.00000343     1.6811      100.00      0.4375      88.93      11.65   
  54    0.00000336     1.6811      100.00      0.4491      88.80      11.66   
  55    0.00000329     1.6811      100.00      0.4234      89.66      11.66   
  56    0.00000323     1.6812      100.00      0.4123      89.79      11.67   
  57    0.00000316     1.6811      100.00      0.4091      89.79      11.65   
  58    0.00000310     1.6809      100.00      0.4103      90.15      11.67   
  59    0.00000304     1.6811      100.00      0.4116      89.72      11.66   
  60    0.00000298     1.6809      100.00      0.4131      90.25      11.70   
  61    0.00000292     1.6811      99.99       0.4139      89.72      11.67   
  62    0.00000286     1.6809      100.00      0.4100      90.11      11.66   
  63    0.00000280     1.6809      100.00      0.4231      89.59      11.79   
  64    0.00000274     1.6811      99.99       0.4210      89.66      11.80   
  65    0.00000269     1.6809      100.00      0.4045      89.92      11.65   
  66    0.00000264     1.6809      100.00      0.4232      89.82      11.65   
  67    0.00000258     1.6809      100.00      0.4203      89.79      11.67   
  68    0.00000253     1.6809      100.00      0.4129      90.08      11.67   
  69    0.00000248     1.6808      100.00      0.4254      89.23      11.66   
  70    0.00000243     1.6808      100.00      0.4280      89.75      11.77   
  71    0.00000238     1.6808      100.00      0.4289      89.36      11.71   
  72    0.00000233     1.6808      100.00      0.4222      89.95      11.66   
  73    0.00000229     1.6808      100.00      0.4236      89.46      11.66   
  74    0.00000224     1.6808      100.00      0.4164      89.95      11.66   
  75    0.00000220     1.6807      100.00      0.4204      89.82      11.65   
  76    0.00000215     1.6807      100.00      0.4145      90.02      11.80   
  77    0.00000211     1.6809      99.99       0.4265      89.66      11.65   
  78    0.00000207     1.6807      100.00      0.4284      89.62      11.64   
  79    0.00000203     1.6808      100.00      0.4252      89.69      11.65   
  80    0.00000199     1.6807      100.00      0.4190      89.75      11.64   
  81    0.00000195     1.6808      100.00      0.4238      90.02      11.63   
  82    0.00000191     1.6807      100.00      0.4272      89.52      11.63   
  83    0.00000187     1.6807      100.00      0.4292      89.85      11.66   
  84    0.00000183     1.6807      100.00      0.4185      90.15      11.63   
  85    0.00000180     1.6807      100.00      0.4276      89.62      11.65   
  86    0.00000176     1.6807      100.00      0.4144      90.11      11.66   
  87    0.00000172     1.6807      100.00      0.4389      89.49      11.64   
  88    0.00000169     1.6807      100.00      0.4270      90.05      11.67   
  89    0.00000166     1.6807      100.00      0.4092      90.51      11.67   
  90    0.00000162     1.6807      100.00      0.4344      89.43      11.64   
  91    0.00000159     1.6807      100.00      0.4260      89.62      11.65   
  92    0.00000156     1.6807      100.00      0.4300      89.89      11.65   
  93    0.00000153     1.6806      100.00      0.4144      90.34      11.65   
  94    0.00000150     1.6807      100.00      0.4233      90.05      11.64   
  95    0.00000147     1.6807      100.00      0.4190      90.08      11.63   
  96    0.00000144     1.6807      100.00      0.4230      89.95      11.64   
  97    0.00000141     1.6806      100.00      0.4250      89.85      11.65   
  98    0.00000138     1.6807      100.00      0.4186      90.11      11.64   
  99    0.00000135     1.6806      100.00      0.4112      90.51      11.65   
 100    0.00000133     1.6807      100.00      0.4152      90.48      11.64   

Best validation accuracy: 90.67%
