resume path / checkpoint path: checkpoints/raf_ori.pth
Batch_size: 8
Epoch       LR       Train_Loss  Train_Acc    Val_Loss    Val_Acc   Time(min) 
  1     0.00000980     3.0820      77.27       0.4658      86.27      11.14   
BEST	val_acc=86.27
  2     0.00000960     2.3917      89.27       0.4112      89.23      11.08   
BEST	val_acc=89.23
  3     0.00000941     2.1203      94.08       0.4210      88.77      11.08   
  4     0.00000922     1.9179      97.45       0.3712      89.69      11.08   
BEST	val_acc=89.69
  5     0.00000904     1.8141      98.80       0.3684      89.39      11.23   
  6     0.00000886     1.7591      99.44       0.3745      89.49      11.08   
  7     0.00000868     1.7348      99.78       0.3732      90.08      11.08   
BEST	val_acc=90.08
  8     0.00000851     1.7182      99.80       0.3713      90.18      11.08   
BEST	val_acc=90.18
  9     0.00000834     1.7120      99.83       0.3753      90.38      11.07   
BEST	val_acc=90.38
  10    0.00000817     1.7031      99.89       0.3961      89.33      11.06   
  11    0.00000801     1.6992      99.91       0.3885      89.89      11.06   
  12    0.00000785     1.6957      99.90       0.3800      90.38      11.05   
  13    0.00000769     1.6918      99.94       0.3904      90.02      11.05   
  14    0.00000754     1.6919      99.97       0.3893      89.98      11.27   
  15    0.00000739     1.6893      99.95       0.3906      89.72      11.09   
  16    0.00000724     1.6870      99.98       0.4029      89.26      11.08   
  17    0.00000709     1.6884      99.98       0.3803      89.95      11.20   
  18    0.00000695     1.6884      99.94       0.4001      89.92      11.06   
  19    0.00000681     1.6861      99.98       0.4108      89.46      11.05   
  20    0.00000668     1.6862      99.97       0.4106      89.62      11.06   
  21    0.00000654     1.6849      99.98       0.4109      89.75      11.07   
  22    0.00000641     1.6841      99.99       0.4078      89.66      11.06   
  23    0.00000628     1.6837      99.98       0.4080      89.82      11.05   
  24    0.00000616     1.6837      99.98       0.4306      89.23      11.05   
  25    0.00000603     1.6843      99.97       0.4320      88.67      11.06   
  26    0.00000591     1.6829      100.00      0.4278      89.29      11.08   
  27    0.00000580     1.6828      100.00      0.4144      89.33      11.05   
  28    0.00000568     1.6833      99.98       0.4293      88.90      11.07   
  29    0.00000557     1.6827      99.99       0.4120      89.95      11.18   
  30    0.00000545     1.6822      100.00      0.4154      89.43      11.06   
  31    0.00000535     1.6829      99.98       0.4051      89.49      11.62   
  32    0.00000524     1.6819      100.00      0.4069      89.23      11.56   
  33    0.00000513     1.6821      99.99       0.4228      89.00      11.79   
  34    0.00000503     1.6830      99.98       0.4146      89.49      11.78   
  35    0.00000493     1.6820      100.00      0.4138      89.75      11.79   
  36    0.00000483     1.6819      100.00      0.4184      89.00      11.30   
  37    0.00000474     1.6819      99.99       0.4145      89.43      11.30   
  38    0.00000464     1.6816      100.00      0.4210      89.59      11.31   
  39    0.00000455     1.6820      99.99       0.4414      88.54      11.31   
  40    0.00000446     1.6816      99.99       0.4213      89.82      11.34   
  41    0.00000437     1.6817      99.99       0.4162      89.46      11.30   
  42    0.00000428     1.6814      100.00      0.4142      89.82      11.32   
  43    0.00000419     1.6813      100.00      0.4236      89.29      11.30   
  44    0.00000411     1.6814      100.00      0.4113      89.95      11.31   
  45    0.00000403     1.6819      99.98       0.4069      90.44      11.32   
BEST	val_acc=90.44
  46    0.00000395     1.6811      100.00      0.4277      89.85      11.31   
  47    0.00000387     1.6816      99.99       0.4084      90.15      11.40   
  48    0.00000379     1.6810      100.00      0.4384      89.16      11.31   
  49    0.00000372     1.6811      100.00      0.4324      89.62      11.29   
  50    0.00000364     1.6811      100.00      0.4271      89.43      11.30   
  51    0.00000357     1.6811      99.99       0.4151      90.05      11.31   
  52    0.00000350     1.6810      100.00      0.4585      88.60      11.31   
  53    0.00000343     1.6810      100.00      0.4184      90.15      11.29   
  54    0.00000336     1.6810      100.00      0.4409      89.00      11.29   
  55    0.00000329     1.6809      100.00      0.4271      89.46      11.30   
  56    0.00000323     1.6809      100.00      0.4269      89.66      11.29   
  57    0.00000316     1.6808      100.00      0.4232      89.89      11.31   
  58    0.00000310     1.6812      99.99       0.4231      89.52      11.31   
  59    0.00000304     1.6808      100.00      0.4434      89.29      11.31   
  60    0.00000298     1.6813      99.99       0.4379      89.56      11.31   
  61    0.00000292     1.6811      99.99       0.4322      89.36      11.31   
  62    0.00000286     1.6808      100.00      0.4296      89.69      11.39   
  63    0.00000280     1.6808      100.00      0.4473      88.83      11.28   
  64    0.00000274     1.6808      100.00      0.4234      89.62      11.29   
  65    0.00000269     1.6808      100.00      0.4433      89.03      11.30   
  66    0.00000264     1.6807      100.00      0.4567      88.74      11.35   
  67    0.00000258     1.6807      100.00      0.4392      89.26      11.07   
  68    0.00000253     1.6808      100.00      0.4607      88.87      11.06   
  69    0.00000248     1.6809      99.99       0.4426      88.90      11.07   
  70    0.00000243     1.6807      100.00      0.4469      88.83      11.07   
  71    0.00000238     1.6808      100.00      0.4416      89.46      11.07   
  72    0.00000233     1.6807      100.00      0.4410      89.20      11.08   
  73    0.00000229     1.6807      100.00      0.4437      89.26      11.07   
  74    0.00000224     1.6807      100.00      0.4317      89.52      11.11   
  75    0.00000220     1.6808      99.99       0.4346      89.39      11.08   
  76    0.00000215     1.6807      100.00      0.4329      89.43      11.14   
  77    0.00000211     1.6807      100.00      0.4309      89.72      12.04   
  78    0.00000207     1.6807      100.00      0.4336      89.69      12.22   
  79    0.00000203     1.6807      100.00      0.4273      90.11      12.88   
  80    0.00000199     1.6807      100.00      0.4355      89.66      11.66   
  81    0.00000195     1.6812      99.99       0.4343      89.46      12.02   
  82    0.00000191     1.6807      100.00      0.4281      89.33      12.65   
  83    0.00000187     1.6807      100.00      0.4279      89.36      16.92   
  84    0.00000183     1.6806      100.00      0.4238      89.82      13.12   
  85    0.00000180     1.6806      100.00      0.4329      89.69      11.81   
  86    0.00000176     1.6806      100.00      0.4267      89.72      11.11   
  87    0.00000172     1.6807      100.00      0.4294      89.79      11.10   
  88    0.00000169     1.6806      100.00      0.4175      90.41      11.10   
  89    0.00000166     1.6809      99.99       0.4152      90.41      11.11   
  90    0.00000162     1.6806      100.00      0.4232      90.05      11.10   
  91    0.00000159     1.6806      100.00      0.4255      90.21      11.11   
  92    0.00000156     1.6806      100.00      0.4247      90.05      11.09   
  93    0.00000153     1.6806      100.00      0.4341      89.33      11.10   
  94    0.00000150     1.6806      100.00      0.4200      90.25      11.09   
  95    0.00000147     1.6806      100.00      0.4371      89.23      11.09   
  96    0.00000144     1.6806      100.00      0.4230      90.08      11.10   
  97    0.00000141     1.6806      100.00      0.4251      90.05      11.10   
  98    0.00000138     1.6806      100.00      0.4111      90.38      11.09   
  99    0.00000135     1.6806      100.00      0.4170      90.25      11.10   
 100    0.00000133     1.6806      100.00      0.4168      90.25      11.09   

Best validation accuracy: 90.44%
